"Time (s)","X (hPa)"
-5.797143333E-1,1.017282181E3
4.219156666E-1,1.017281036E3
1.423495667E0,1.017280579E3
2.425087667E0,1.017279892E3
3.426703667E0,1.017277069E3
3.782956667E0,1.017270813E3
4.851370667E0,1.017269821E3
5.919736667E0,1.017269592E3
6.988123667E0,1.017269592E3
8.056528667E0,1.017272186E3
9.124950667E0,1.017272186E3
1.019334667E1,1.017265396E3
1.126173167E1,1.017263718E3
1.233016267E1,1.017251511E3
1.339860767E1,1.017233124E3
1.446707767E1,1.017219086E3
1.553552967E1,1.017208939E3
1.660393267E1,1.017198181E3
1.767235567E1,1.017198181E3
1.874077467E1,1.017203979E3
1.980920667E1,1.017223740E3
2.087765767E1,1.017245636E3
2.194610067E1,1.017268524E3
2.301461067E1,1.017288132E3
2.408309567E1,1.017302246E3
2.515159167E1,1.017305145E3
2.622005867E1,1.017305374E3
2.728846967E1,1.017305450E3
2.835686667E1,1.017305603E3
2.942526467E1,1.017305603E3
3.049366567E1,1.017298889E3
3.156207467E1,1.017293625E3
3.263051667E1,1.017289124E3
3.369895567E1,1.017285156E3
3.476738667E1,1.017273407E3
3.583583967E1,1.017268295E3
3.690426967E1,1.017260590E3
3.797278867E1,1.017248764E3
3.904124467E1,1.017236099E3
4.010969767E1,1.017230911E3
4.117813867E1,1.017223663E3
4.224655267E1,1.017215042E3
4.331496767E1,1.017209854E3
4.438344167E1,1.017206039E3
4.545194667E1,1.017206039E3
4.652039967E1,1.017209015E3
4.758887967E1,1.017214050E3
4.865733967E1,1.017219086E3
4.972582167E1,1.017222595E3
5.079436367E1,1.017223053E3
5.186292667E1,1.017226181E3
5.293150867E1,1.017227936E3
5.400007667E1,1.017229385E3
5.506863367E1,1.017235031E3
5.613715367E1,1.017238846E3
5.720569067E1,1.017241745E3
5.827420567E1,1.017243042E3
5.934268667E1,1.017241745E3
6.041118067E1,1.017234650E3
6.147964867E1,1.017224350E3
6.254811767E1,1.017219925E3
6.361658767E1,1.017217178E3
6.468510467E1,1.017211227E3
6.575359967E1,1.017211075E3
6.682208667E1,1.017209167E3
6.789054167E1,1.017204819E3
6.895896167E1,1.017204819E3
7.002740967E1,1.017207947E3
7.109580567E1,1.017212601E3
7.216425767E1,1.017216568E3
7.323273467E1,1.017221451E3
7.430116467E1,1.017224808E3
7.536959367E1,1.017229004E3
7.643804067E1,1.017233353E3
7.750649767E1,1.017241974E3
7.857489067E1,1.017249222E3
7.964332267E1,1.017258377E3
8.071173467E1,1.017265625E3
8.178015667E1,1.017273636E3
8.284855867E1,1.017273636E3
8.391701167E1,1.017272568E3
8.498543567E1,1.017269974E3
8.605386667E1,1.017267303E3
8.712231067E1,1.017262421E3
8.819071867E1,1.017251511E3
8.925913067E1,1.017242432E3
9.032755967E1,1.017235031E3
9.139601467E1,1.017228088E3
9.246446867E1,1.017226868E3
9.353292467E1,1.017225418E3
9.460136667E1,1.017225418E3
9.566979067E1,1.017223434E3
9.673824967E1,1.017223434E3
9.780669167E1,1.017245331E3
9.887509667E1,1.017306595E3
9.994348967E1,1.017411118E3
1.010119257E2,1.017557831E3
1.020803947E2,1.017726288E3
1.031487897E2,1.017882233E3
1.042172247E2,1.018007202E3
1.052856137E2,1.018096237E3
1.063539817E2,1.018145599E3
1.074223717E2,1.018167648E3
1.084907667E2,1.018180084E3
1.095591587E2,1.018186798E3
1.106275857E2,1.018189087E3
1.116960317E2,1.018189545E3
1.127644367E2,1.018189545E3
1.138328247E2,1.018186569E3
1.149011787E2,1.018182373E3
1.159695327E2,1.018177414E3
1.170379567E2,1.018168869E3
1.181064117E2,1.018155060E3
1.191748157E2,1.018148270E3
1.202432027E2,1.018138657E3
1.213115887E2,1.018130875E3
1.223799167E2,1.018123856E3
1.234482587E2,1.018123245E3
1.245166497E2,1.018118210E3
1.255850177E2,1.018118210E3
1.266534147E2,1.018118668E3
1.277218077E2,1.018138885E3
1.287902017E2,1.018191299E3
1.298585987E2,1.018279190E3
1.309269527E2,1.018405151E3
1.319953307E2,1.018565979E3
1.330637017E2,1.018752518E3
1.341321107E2,1.018945465E3
1.352005787E2,1.019142761E3
1.362690517E2,1.019341278E3
1.373374717E2,1.019532700E3
1.384058977E2,1.019704056E3
1.394742717E2,1.019842758E3
1.405426937E2,1.019940033E3
1.416110607E2,1.019999313E3
1.426793747E2,1.020024033E3
1.437477507E2,1.020026169E3
1.448160877E2,1.020027771E3
1.458844257E2,1.020028152E3
1.469527287E2,1.020030136E3
1.480210727E2,1.020030594E3
1.490893927E2,1.020031357E3
1.501577407E2,1.020034714E3
1.512261957E2,1.020038300E3
1.522945617E2,1.020046310E3
1.533629817E2,1.020056610E3
1.544313987E2,1.020065002E3
1.554997987E2,1.020065536E3
1.565681647E2,1.020065536E3
1.576366017E2,1.020058517E3
1.587050187E2,1.020053329E3
1.597734507E2,1.020053329E3
1.608418777E2,1.020057907E3
1.619103367E2,1.020070038E3
1.629788267E2,1.020080872E3
1.640472207E2,1.020089264E3
1.651156237E2,1.020093842E3
1.661840047E2,1.020095978E3
1.672523917E2,1.020096359E3
1.683207987E2,1.020096359E3
1.693892047E2,1.020101242E3
1.704576167E2,1.020102768E3
1.715260457E2,1.020105209E3
1.725944987E2,1.020108795E3
1.736629087E2,1.020110703E3
1.747313177E2,1.020111313E3
1.757997217E2,1.020111313E3
1.768680967E2,1.020110168E3
1.779364267E2,1.020108643E3
1.790048027E2,1.020108414E3
1.800732127E2,1.020107346E3
1.811416087E2,1.020107346E3
1.822100487E2,1.020107422E3
1.832784957E2,1.020109940E3
1.843469877E2,1.020110168E3
1.854154377E2,1.020110474E3
1.864838797E2,1.020111313E3
1.875523567E2,1.020113525E3
1.886208437E2,1.020113907E3
1.896892767E2,1.020115128E3
1.907577567E2,1.020116272E3
1.918261997E2,1.020117493E3
1.928946497E2,1.020118484E3
1.939631297E2,1.020120697E3
1.950315297E2,1.020121841E3
1.960999807E2,1.020127182E3
1.971684327E2,1.020131912E3
1.982368937E2,1.020135727E3
1.993053397E2,1.020140152E3
2.003737997E2,1.020145111E3
2.014422497E2,1.020146484E3
2.025107377E2,1.020149307E3
2.035791947E2,1.020152206E3
2.046476187E2,1.020154114E3
2.057160357E2,1.020155792E3
2.067844067E2,1.020158920E3
2.078527847E2,1.020162048E3
2.089212237E2,1.020165253E3
2.099896537E2,1.020168228E3
2.110580527E2,1.020170746E3
2.121264227E2,1.020172882E3
2.131947947E2,1.020174332E3
2.142631877E2,1.020175400E3
2.153315687E2,1.020175400E3
2.163999647E2,1.020175629E3
2.174683597E2,1.020175629E3
2.185367447E2,1.020175781E3
2.196051057E2,1.020175781E3
2.206734377E2,1.020175934E3
2.217417877E2,1.020178528E3
2.228101477E2,1.020178986E3
2.238785527E2,1.020179520E3
2.249468947E2,1.020179520E3
2.260151987E2,1.020178299E3
2.270835247E2,1.020176620E3
2.281518327E2,1.020172424E3
2.292201867E2,1.020169220E3
2.302885637E2,1.020167007E3
2.313569327E2,1.020164337E3
2.324252647E2,1.020160675E3
2.334936027E2,1.020158081E3
2.345619737E2,1.020155792E3
2.356303707E2,1.020153656E3
2.366987497E2,1.020151215E3
2.377670887E2,1.020149078E3
2.388354597E2,1.020148849E3
2.399038527E2,1.020146561E3
2.409722177E2,1.020143967E3
2.420405477E2,1.020141907E3
2.431089067E2,1.020140991E3
2.441772397E2,1.020138779E3
2.452456147E2,1.020126724E3
2.463140327E2,1.020111771E3
2.473824407E2,1.020097046E3
2.484508827E2,1.020083618E3
2.495192897E2,1.020069122E3
2.505876757E2,1.020065842E3
2.516560837E2,1.020065536E3
2.527244457E2,1.020064392E3
