"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.721479893E-1,5.233459828E1,4.864231189E0,3.624431372E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.218937993E0,5.233461627E1,4.864211466E0,3.752071798E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.378571999E1,5.233458906E1,4.864245389E0,3.723035544E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.037635005E1,5.233458764E1,4.864253047E0,3.711877525E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.704462898E1,5.233458213E1,4.864266949E0,3.730641693E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.762906301E1,5.233457745E1,4.864270479E0,3.641243637E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.135947704E1,5.233457958E1,4.864279866E0,3.488578200E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.328024209E1,5.233458227E1,4.864278628E0,3.444410443E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.978106499E1,5.233464366E1,4.864188473E0,3.324149489E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.634233809E1,5.233463402E1,4.864208443E0,3.287487686E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.232215405E1,5.233464853E1,4.864224470E0,2.413842916E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.456680202E1,5.233462395E1,4.864267258E0,2.177864194E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.058802402E1,5.233470907E1,4.864135482E0,2.610534191E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.108443999E1,5.233479127E1,4.864094400E0,2.688871622E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.054044260E2,5.233487513E1,4.863987991E0,2.690206766E0,-1.000000000E0,-1.000000000E0,8.231056601E1,8.231056601E1
1.133374380E2,5.233489251E1,4.864026089E0,2.944223881E0,-1.000000000E0,-1.000000000E0,9.672599940E1,9.672599940E1
1.367281610E2,5.233496812E1,4.863971432E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,1.997059616E2,1.997059616E2
1.382810221E2,5.233497223E1,4.863968463E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,2.021017693E2,2.021017693E2
1.397253801E2,5.233497596E1,4.863965764E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,2.044258934E2,2.044258934E2
1.398267601E2,5.233497622E1,4.863965577E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,2.044382125E2,2.044382125E2
1.399193680E2,5.233497646E1,4.863965407E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,2.044485613E2,2.044485613E2
1.399583321E2,5.233497656E1,4.863965335E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,2.044504030E2,2.044504030E2
1.410038360E2,5.233497920E1,4.863963426E0,-1.157189846E0,-1.000000000E0,-1.000000000E0,2.057981675E2,2.057981675E2
1.462957461E2,5.233413928E1,4.864210649E0,2.944475651E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
1.477573071E2,5.233410234E1,4.864221186E0,2.944475651E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
1.482706370E2,5.233426517E1,4.864175493E0,3.084774256E0,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
1.503983721E2,5.233433918E1,4.864154581E0,3.112900317E0,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
1.508323040E2,5.233436977E1,4.864146002E0,3.123809695E0,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
1.508885250E2,5.233438327E1,4.864142230E0,3.129372418E0,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
1.640062330E2,5.233449642E1,4.864109513E0,-9.722015262E-1,-1.000000000E0,-1.000000000E0,1.660126383E2,1.660126383E2
1.640153151E2,5.233449650E1,4.864109493E0,-9.722015262E-1,-1.000000000E0,-1.000000000E0,1.660126732E2,1.660126732E2
1.666324921E2,5.233472177E1,4.864098568E0,2.912881613E0,-1.000000000E0,-1.000000000E0,5.400000000E1,5.400000000E1
1.721812041E2,5.233424603E1,4.864191980E0,2.457335591E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
1.726007020E2,5.233440457E1,4.864161901E0,2.571664691E0,-1.000000000E0,-1.000000000E0,4.114593532E1,4.114593532E1
